Date,Open,High,Low,Close,Adj Close,Volume
2023-11-09,35633.63,37926.26,35592.10,36693.13,36693.13,37762672382.00
2023-11-10,36702.25,37493.80,36362.75,37313.97,37313.97,22711265155.00
2023-11-11,37310.07,37407.09,36773.67,37138.05,37138.05,13924272142.00
2023-11-12,37133.99,37227.69,36779.12,37054.52,37054.52,11545715999.00
2023-11-13,37070.30,37405.12,36399.61,36502.36,36502.36,19057712790.00
2023-11-14,36491.79,36753.35,34948.50,35537.64,35537.64,23857403554.00
2023-11-15,35548.11,37964.89,35383.78,37880.58,37880.58,27365821679.00
2023-11-16,37879.98,37934.63,35545.47,36154.77,36154.77,26007385366.00
2023-11-17,36164.82,36704.48,35901.23,36596.68,36596.68,22445028430.00
2023-11-18,36625.37,36839.28,36233.31,36585.70,36585.70,11886022717.00
2023-11-19,36585.77,37509.36,36414.60,37386.55,37386.55,12915986553.00
2023-11-20,37374.07,37756.82,36882.53,37476.96,37476.96,20888209068.00
2023-11-21,37469.16,37631.14,35813.81,35813.81,35813.81,25172163756.00
2023-11-22,35756.55,37856.98,35670.97,37432.34,37432.34,24397247860.00
2023-11-23,37420.43,37643.92,36923.86,37289.62,37289.62,14214948217.00
2023-11-24,37296.32,38415.34,37261.61,37720.28,37720.28,22922957823.00
2023-11-25,37721.41,37892.43,37617.42,37796.79,37796.79,9099571165.00
2023-11-26,37796.83,37820.30,37162.75,37479.12,37479.12,13744796068.00
2023-11-27,37454.19,37559.36,36750.13,37254.17,37254.17,19002925720.00
2023-11-28,37247.99,38368.48,36891.09,37831.09,37831.09,21696137014.00
2023-11-29,37826.11,38366.11,37612.63,37858.49,37858.49,20728546658.00
2023-11-30,37861.12,38141.75,37531.14,37712.75,37712.75,18115982627.00
2023-12-01,37718.01,38954.11,37629.36,38688.75,38688.75,23512784002.00
2023-12-02,38689.28,39678.94,38652.59,39476.33,39476.33,15534035612.00
2023-12-03,39472.21,40135.61,39298.16,39978.39,39978.39,15769696322.00
2023-12-04,39978.63,42371.75,39978.63,41980.10,41980.10,39856129827.00
2023-12-05,41986.27,44408.66,41421.15,44080.65,44080.65,36312154535.00
2023-12-06,44080.02,44265.77,43478.08,43746.45,43746.45,29909761586.00
2023-12-07,43769.13,44042.59,42880.65,43292.66,43292.66,27635760671.00
2023-12-08,43293.14,44705.52,43125.30,44166.60,44166.60,24421116687.00
2023-12-09,44180.02,44361.26,43627.60,43725.98,43725.98,17368210171.00
2023-12-10,43728.38,44034.63,43593.29,43779.70,43779.70,13000481418.00
2023-12-11,43792.02,43808.38,40234.58,41243.83,41243.83,40632672038.00
2023-12-12,41238.73,42048.30,40667.56,41450.22,41450.22,24779520132.00
2023-12-13,41468.46,43429.78,40676.87,42890.74,42890.74,26797884674.00
2023-12-14,42884.26,43390.86,41767.09,43023.97,43023.97,25578530178.00
2023-12-15,43028.25,43087.82,41692.97,41929.76,41929.76,19639442462.00
2023-12-16,41937.74,42664.95,41723.11,42240.12,42240.12,14386729590.00
2023-12-17,42236.11,42359.50,41274.54,41364.66,41364.66,16678702876.00
2023-12-18,41348.20,42720.30,40530.26,42623.54,42623.54,25224642008.00
2023-12-19,42641.51,43354.30,41826.34,42270.53,42270.53,23171001281.00
2023-12-20,42261.30,44275.59,42223.82,43652.25,43652.25,27868908174.00
2023-12-21,43648.13,44240.67,43330.05,43869.15,43869.15,22452766169.00
2023-12-22,43868.99,44367.96,43441.97,43997.90,43997.90,21028503216.00
2023-12-23,44012.20,44015.70,43351.36,43739.54,43739.54,13507796558.00
2023-12-24,43728.37,43945.52,42786.92,43016.12,43016.12,18830554085.00
2023-12-25,43010.57,43765.09,42765.77,43613.14,43613.14,21115795370.00
2023-12-26,43599.85,43603.18,41676.49,42520.40,42520.40,30026850982.00
2023-12-27,42518.47,43683.16,42167.58,43442.86,43442.86,25260941032.00
2023-12-28,43468.20,43804.78,42318.55,42627.86,42627.86,22992093014.00
2023-12-29,42614.64,43124.32,41424.06,42099.40,42099.40,26000021055.00
2023-12-30,42091.75,42584.13,41556.23,42156.90,42156.90,16013925945.00
2023-12-31,42152.10,42860.94,41998.25,42265.19,42265.19,16397498810.00
2024-01-01,42280.23,44175.44,42214.98,44167.33,44167.33,18426978443.00
2024-01-02,44187.14,45899.71,44176.95,44957.97,44957.97,39335274536.00
2024-01-03,44961.60,45503.24,40813.54,42848.18,42848.18,46342323118.00
2024-01-04,42855.82,44770.02,42675.18,44179.92,44179.92,30448091210.00
2024-01-05,44192.98,44353.29,42784.72,44162.69,44162.69,32336029347.00
2024-01-06,44178.95,44227.63,43475.16,43989.20,43989.20,16092503468.00
2024-01-07,43998.46,44495.57,43662.23,43943.10,43943.10,19330573863.00
2024-01-08,43948.71,47218.00,43244.08,46970.50,46970.50,42746192015.00
2024-01-09,46987.64,47893.70,45244.71,46139.73,46139.73,39821290992.00
2024-01-10,46121.54,47647.22,44483.15,46627.78,46627.78,50114613298.00
2024-01-11,46656.07,48969.37,45678.64,46368.59,46368.59,45833734549.00
2024-01-12,46354.79,46498.14,41903.77,42853.17,42853.17,43332698900.00
2024-01-13,42799.45,43234.66,42464.14,42842.38,42842.38,20601860469.00
2024-01-14,42842.26,43065.60,41724.61,41796.27,41796.27,17521429522.00
2024-01-15,41715.07,43319.72,41705.42,42511.97,42511.97,22320220558.00
2024-01-16,42499.34,43566.27,42086.00,43154.95,43154.95,24062872740.00
2024-01-17,43132.10,43189.89,42189.31,42742.65,42742.65,20851232595.00
2024-01-18,42742.31,42876.35,40631.17,41262.06,41262.06,25218357242.00
2024-01-19,41278.46,42134.16,40297.46,41618.41,41618.41,25752407154.00
2024-01-20,41624.59,41877.89,41446.82,41665.59,41665.59,11586690904.00
2024-01-21,41671.49,41855.37,41497.01,41545.79,41545.79,9344043642.00
2024-01-22,41553.65,41651.21,39450.12,39507.37,39507.37,31338708143.00
2024-01-23,39518.71,40127.35,38521.89,39845.55,39845.55,29244553045.00
2024-01-24,39877.59,40483.79,39508.80,40077.07,40077.07,22359526178.00
